                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.4244,                0.86506,                 1.0609,                0.97132,                0.96976,                0.98173,                0.47126,                 1.9043,                0.77776,                 1.2744,               0.002476,               0.002476,               0.002476
                     78,                 1.4225,                0.85955,                 1.0576,                0.97183,                0.97005,                0.98157,                0.47172,                 1.9036,                0.77656,                 1.2739,               0.002377,               0.002377,               0.002377
                     79,                 1.4189,                0.85481,                 1.0589,                0.97213,                0.97049,                0.98198,                 0.4723,                 1.9014,                0.77576,                  1.273,               0.002278,               0.002278,               0.002278
                     80,                 1.4152,                0.84378,                 1.0566,                0.97251,                0.97049,                0.98179,                0.47259,                 1.9003,                0.77431,                 1.2725,               0.002179,               0.002179,               0.002179
                     81,                 1.4162,                0.84639,                 1.0581,                0.97267,                0.97086,                0.98216,                0.47247,                  1.902,                0.77309,                 1.2732,                0.00208,                0.00208,                0.00208
                     82,                 1.4093,                 0.8444,                 1.0589,                0.97278,                0.97115,                0.98229,                0.47453,                 1.8928,                0.77189,                 1.2692,               0.001981,               0.001981,               0.001981
                     83,                 1.4039,                0.85375,                 1.0526,                  0.973,                0.97129,                0.98253,                0.47608,                 1.8856,                0.77075,                 1.2662,               0.001882,               0.001882,               0.001882
                     84,                 1.4057,                0.84517,                 1.0555,                 0.9736,                0.97129,                 0.9822,                0.47636,                 1.8846,                0.76988,                 1.2657,               0.001783,               0.001783,               0.001783
                     85,                 1.4068,                0.84453,                 1.0539,                0.97416,                0.97176,                0.98278,                0.47692,                 1.8835,                0.76845,                 1.2652,               0.001684,               0.001684,               0.001684
                     86,                 1.4043,                0.84319,                 1.0559,                0.97431,                0.97193,                0.98273,                0.47744,                 1.8818,                0.76768,                 1.2644,               0.001585,               0.001585,               0.001585
                     87,                 1.4001,                0.83262,                 1.0552,                0.97444,                0.97168,                0.98283,                 0.4784,                 1.8787,                0.76667,                 1.2631,               0.001486,               0.001486,               0.001486
                     88,                 1.3961,                0.83428,                 1.0505,                0.97474,                0.97186,                0.98285,                0.47926,                 1.8759,                0.76568,                 1.2618,               0.001387,               0.001387,               0.001387
                     89,                 1.3889,                0.82977,                 1.0519,                0.97462,                0.97181,                0.98274,                0.47986,                 1.8739,                0.76456,                 1.2609,               0.001288,               0.001288,               0.001288
                     90,                 1.3945,                0.83765,                 1.0531,                0.97488,                0.97212,                0.98305,                0.48004,                 1.8742,                0.76375,                 1.2611,               0.001189,               0.001189,               0.001189
                     91,                 1.3701,                0.79819,                 1.0963,                0.97532,                0.97234,                 0.9832,                0.48251,                 1.8621,                0.76326,                 1.2557,                0.00109,                0.00109,                0.00109
                     92,                 1.3367,                0.78852,                 1.0891,                0.97561,                0.97253,                 0.9832,                 0.4847,                 1.8534,                 0.7628,                 1.2516,               0.000991,               0.000991,               0.000991
                     93,                 1.3366,                0.78567,                 1.0902,                0.97576,                0.97261,                0.98328,                0.48642,                 1.8463,                0.76181,                 1.2483,               0.000892,               0.000892,               0.000892
                     94,                  1.331,                0.78329,                 1.0896,                0.97591,                0.97313,                0.98351,                  0.488,                 1.8411,                0.76134,                 1.2458,               0.000793,               0.000793,               0.000793
                     95,                 1.3264,                0.77851,                 1.0846,                0.97592,                0.97335,                 0.9837,                0.48983,                  1.835,                0.76076,                  1.243,               0.000694,               0.000694,               0.000694
                     96,                 1.3176,                0.77117,                 1.0825,                0.97635,                0.97356,                0.98388,                0.49023,                 1.8344,                0.76018,                 1.2424,               0.000595,               0.000595,               0.000595
                     97,                 1.3225,                0.76413,                 1.0818,                0.97636,                0.97388,                0.98406,                0.49078,                 1.8333,                0.75944,                 1.2416,               0.000496,               0.000496,               0.000496
                     98,                 1.3191,                 0.7586,                 1.0832,                0.97657,                0.97372,                0.98397,                0.49223,                 1.8278,                0.75846,                  1.239,               0.000397,               0.000397,               0.000397
                     99,                 1.3196,                 0.7645,                  1.083,                0.97665,                0.97415,                0.98435,                0.49295,                 1.8262,                0.75719,                 1.2382,               0.000298,               0.000298,               0.000298
                    100,                 1.3117,                0.75618,                 1.0803,                0.97644,                0.97439,                0.98442,                0.49402,                 1.8237,                0.75614,                 1.2369,               0.000199,               0.000199,               0.000199
